2137679788,191923893341,191923893390
2142847789,191929061224,191929061273
2148015758,191934229074,191934229118
2153183771,191939396969,191939397010
2158351671,191944564751,191944564781
2163519702,191949732663,191949732698
2168687775,191954900618,191954900650
2173855775,191960068500,191960068534
2179023735,191965236341,191965236390
2184191644,191970404132,191970404180
2189359726,191975572096,191975572145
2194527726,191980739977,191980740029
2199695748,191985907881,191985907929
2204864406,191991076421,191991076239
2210033034,191996244930,191996244717
2215200654,192001412432,192001412481
2220368638,192006580298,192006580349
2225536728,192011748269,192011748321
2230704790,192016916213,192016916262
2235872743,192022084048,192022084099
2241040653,192027251839,192027251889
2246208687,192032419755,192032419807
2251376224,192037587174,192037587222
2256544256,192042755087,192042755136
2261712250,192047922963,192047923013
2266880122,192053090717,192053090768
2272048177,192058258653,192058258703
2277216169,192063426527,192063426577
2282384259,192068594499,192068594550
2287552290,192073762411,192073762462
2292720120,192078930123,192078930171
2297888371,192084098256,192084098305
2303056749,192089266516,192089266567
2308224734,192094434382,192094434435
2313392741,192099602271,192099602320
2318561445,192104770857,192104770671
2323730074,192109939367,192109939182
2328898144,192115107319,192115107362
2334066193,192120275250,192120275297
2339233735,192125442673,192125442724
2344404567,192130613387,192130613437
2349572146,192135780848,192135780884
2354740201,192140948784,192140948820
2359908289,192146116754,192146116786
2365076250,192151284597,192151284628
2370244297,192156452525,192156452559
2375412139,192161620249,192161620300
2380580121,192166788113,192166788159
2385749195,192171957068,192171956881
2390917154,192177124909,192177124946
2396085276,192182292913,192182292945
2401253898,192187461416,192187461467
2406421645,192192629045,192192629099
2411589647,192197796929,192197796969
2416757652,192202964815,192202964849
2421925774,192208132819,192208132859
2427093765,192213300692,192213300733
2432261751,192218468559,192218468593
2437429631,192223636321,192223636370
2442597621,192228804193,192228804243
2447765240,192233971693,192233971745
2452933243,192239139578,192239139631
2458101290,192244307507,192244307556
2463269130,192249475228,192249475282
2468437139,192254643119,192254643172
2473605131,192259810993,192259811041
2478773136,192264978879,192264978932
2483941235,192270146860,192270146912
2489110130,192275315637,192275315455
2494278479,192280483867,192280483688
2499446235,192285651505,192285651555
2504614139,192290819291,192290819343
2509782256,192295987289,192295987342
2514950250,192301155165,192301155215
2520118195,192306322992,192306323049
2525286235,192311490913,192311490966
2530454129,192316658689,192316658741
2535622153,192321826595,192321826649
2540790241,192326994564,192326994620
2545958250,192332162455,192332162512
2551126211,192337330298,192337330354
2556294168,192342498136,192342498192
2561462136,192347665986,192347666042
2566630233,192352833965,192352834018
2571798304,192358001917,192358001970
2576966195,192363169690,192363169748
2582134201,192368337578,192368337634
2587302145,192373505404,192373505458
2592470251,192378673391,192378673451
2597638323,192383841345,192383841403
2602806145,192389009049,192389009104
2607974257,192394177042,192394177104
2613142195,192399344862,192399344900
2618311001,192404513550,192404513379
2623478799,192409681229,192409681286
2628646839,192414849151,192414849208
2633814782,192420016976,192420017035
2638982686,192425184761,192425184811
2644150693,192430352650,192430352695
2649318767,192435520606,192435520648
2654487709,192440689429,192440689215
2659656557,192445858159,192445857964
2664824122,192451025606,192451025662
2669991711,192456193076,192456193136
2675159783,192461361030,192461361091
2680327783,192466528912,192466528958
2685495654,192471696664,192471696711
2690663663,192476864555,192476864596
2695831783,192482032557,192482032603
2700999662,192487200317,192487200378
2706167242,192492367779,192492367837
2711334774,192497535193,192497535255
2716502614,192502702914,192502702979
2721670267,192507870449,192507870505
2726838152,192513038216,192513038277
2732005727,192518205672,192518205738
2737173734,192523373561,192523373623
2742341644,192528541353,192528541418
2747509654,192533709244,192533709310
2752677766,192538877238,192538877302
2757845775,192544045129,192544045191
2763013765,192549213000,192549213067
2768182415,192554381532,192554381434
2773351011,192559550010,192559549844
2778518614,192564717494,192564717559
2783686283,192569885045,192569885109
2788854256,192575052900,192575052947
2794022275,192580220801,192580220849
2799190233,192585388640,192585388688
2804358153,192590556442,192590556507
2809525671,192595723842,192595723910
2814693655,192600891707,192600891775
2819861275,192606059209,192606059272
2825029145,192611226961,192611227028
2830197208,192616394905,192616394970
2835365210,192621562789,192621562855
2840533122,192626730583,192626730647
2845701674,192631899016,192631898968
2850872134,192637069358,192637069424
2856040187,192642237293,192642237360
2861208267,192647405254,192647405318
2866376168,192652573037,192652573107
2871543773,192657740524,192657740583
2876711734,192662908366,192662908436
2881879759,192668076273,192668076341
2887047637,192673244033,192673244106
2892215701,192678411978,192678412049
2897383652,192683579811,192683579880
2902551750,192688747791,192688747858
2907719797,192693915719,192693915793
2912887644,192699083448,192699083521
2918055734,192704251420,192704251492
2923223694,192709419261,192709419326
2928391709,192714587158,192714587234
2933559251,192719754582,192719754657
2938728105,192724923317,192724923152
2943896590,192730091684,192730091520
2949064186,192735259162,192735259237
2954232153,192740427010,192740427084
2959400224,192745594963,192745595032
2964568265,192750762886,192750762962
2969736266,192755930768,192755930846
2974904186,192761098570,192761098645
2980072186,192766266452,192766266526
2985240258,192771434405,192771434485
2990408258,192776602287,192776602365
2995576291,192781770202,192781770279
3000744202,192786937994,192786938071
3005912162,192792105836,192792105911
3011080258,192797273814,192797273894
3016248226,192802441664,192802441742
3021416282,192807609601,192807609680
3026584945,192812778146,192812777991
3031752662,192817945745,192817945826
3036920767,192823113731,192823113813
3042088677,192828281523,192828281608
3047256741,192833449469,192833449551
3052424654,192838617263,192838617341
